pathway	external_id	source	entrez_gene_ids
glutamate degradation IV	PWY-4321	MouseCyc	2,688,602,145,791,440,000,000
Regulation of Signaling by NODAL	REACT_125788	Reactome	12,627,126,221,811,900,000,000,000
Signaling by NODAL	REACT_114433	Reactome	18,550,216,671,262,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Transcriptional Regulation of White Adipocyte Differentiation	REACT_30095	Reactome	28077,264064,234959,15183,17979,19014,67381,12537,69790,66213,192191,80509,67279,69792,68975,17978,70625,20933,26896,66172,59024,19017,23989,70208,216154,56771,67224,76199,12914,17977,67219,51813,94112,19016,381379,20181,11770,20602,20185,327987,75613,108098
Developmental Biology	REACT_127416	Reactome	13429,67279,14106,110651,19014,103967,67381,223666,17927,20563,69790,56613,232906,20349,20439,12386,14083,22350,16416,12826,14182,18188,11848,22177,12569,19876,53310,59024,14559,17979,66556,11350,216439,20354,13844,21667,22325,19264,12175,73178,12385,11480,20742,18481,12839,12914,20112,12484,71653,19122,56458,17878,26396,53378,14585,19016,107448,224105,20404,381379,16398,22240,19247,20346,56705,12661,12827,100505254,22253,12995,11876,20741,13866,26395,223435,13590,75613,13800,19878,108098,223881,16885,69632,14026,192191,18209,17260,11651,11352,17127,18738,20356,12830,66213,17967,20662,11481,12631,20450,12841,98932,13193,94112,71770,17978,117606,28077,241656,12295,20562,11479,18643,18803,14270,20933,319504,20739,17877,54652,20438,12829,20358,18761,56212,53870,244058,70625,12568,12934,71960,76199,17977,67219,67071,12298,15516,20779,17928,70584,20130,20181,12828,20437,18119,20452,26757,11733,19094,16777,17126,12297,20564,18222,12622,264064,234959,16410,29857,231148,14733,17880,70834,12537,20740,12627,18846,12912,68799,320202,235281,12288,17974,80509,226519,67938,15183,57764,18208,68975,21367,235611,65254,12833,13176,57810,56484,19262,56771,19017,16571,12540,77579,18845,13385,26417,11771,13001,26413,76707,17973,70208,20111,16536,16728,13430,110157,67224,12583,58226,107449,11772,12517,26416,20351,11658,69585,16412,12534,56637,12555,12834,67252,16772,110862,18479,20602,54401,13004,140571,330662,13383,18187,20185,80297,12805,15519,20266,226251,17128,20361,12387,18176,14159,19354,104099,214968,16653,13000,23989,109700,76499,19877,17904,12757,11773,12296,18007,17295,20867,232910,19197,69792,22323,269275,20743,19281,19353,12933,26896,227377,66172,15461,214230,18717,12558,53321,11853,14784,16399,216154,319713,11770,21894,14360,17886,51813,18186,13649,18844,12331,18550,67784,83433,18645,117600,21423,213498,12289,11852,54712,14573,16402,327987,73086,243743,269116,20663
TRAF6 Mediated Induction of proinflammatory cytokines	REACT_105924	Reactome	73699,26414,17260,110651,13211,11908,26398,20208,16476,20203,18033,107607,102626,26409,18036,12675,108960,18035,17164,26413,17874,66724,19052,192656,26400,26417,20112,72349,14281,26420,235584,20111,23939,11820,13712,19697,18034,15289,67603,26419,26416,21770,66513,26396,319520,12534,16151,19094,26397,257632,11596,26395,19053,22034,16179,73086,11909,51792,26399,20209,12912,16150,68652
Elongation arrest and recovery	REACT_82766	Reactome	729,492,313,296,649,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
MPS IIID - Sanfilippo syndrome D	REACT_149507	Reactome	70484,100910,269941,15931,223827,71797,50786,76969,14595,27029,116847,23972,93683,195646,280645,545291,11881,18295,14735,20442,50785,13521,59031,231727,100505254,20441,23888,103978,192188,13003,77590,56375,56386,15212,53625,20444,15476,78752,14043,108902,15442,56773,56336,76898,13179,15529,218271,71951,27416,27047,227327,114332,72136,72727,14734,71367,17022,15932,78923,319415,15587,57370,16545,12091,14733,75612,20971,338362,60322,29873,319901,23971,20544,14042,15366,58250,15531,72297,54613,13004,27419,12505,23908,231583,54371,12032,12111,108652,117592,15211,54710,110006,15586,234356,20443,53374,20970,17423,15530,328779,15478,121021,212898,20969,74241,14264,53418
YAP1- and WWTR1 (TAZ)-stimulated gene expression	REACT_132571	Reactome	216,782,167,921,388,000,000,000,000,000,000,000,000,000,000
Generic Transcription Pathway	REACT_85098	Reactome	19885,67279,11835,19014,433586,13982,104394,18667,19042,22260,23957,22284,11545,19013,59024,97064,19401,67381,21676,18171,15181,12914,11614,18129,19883,19016,56771,26424,69790,20683,75613,18132,17127,66354,19411,66213,21834,17131,13865,225998,21781,94112,93836,83814,28077,192292,433759,78294,13559,21833,70625,30942,22026,21679,667035,26423,26380,19664,22025,264064,234959,94093,22190,80509,20183,217166,68975,17126,22259,14815,26379,13864,211586,353187,70208,20186,75692,18227,22187,12393,20602,18124,19015,20185,13983,17128,21815,21678,72949,26381,228839,18131,18519,17283,69792,22337,21388,21677,26896,18128,20182,20482,22601,218772,23989,216154,12455,21907,51813,14536,15370,12355,20181,107951,20481,270118,15378,327987,103806,22186,641340,19650,66313
phospholipases	LIPASYN-PWY	MouseCyc	663,501,880,518,796,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
selenocysteine biosynthesis II (archaea and eukaryotes)	PWY-6281	MouseCyc	719,842,076,810,907,000,000
glutamate degradation X	PWY-5766	MouseCyc	14,661,104,277
Prefoldin mediated transfer of substrate  to CCT/TriC	REACT_128718	Reactome	1,246,214,976,221,440,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Beta-catenin phosphorylation cascade	REACT_30587	Reactome	2,741,273,699,212,390,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
MPS IX - Natowicz syndrome	REACT_149625	Reactome	70484,100910,269941,15931,223827,71797,50786,76969,14595,27029,116847,23972,93683,195646,280645,545291,11881,18295,14735,20442,50785,13521,59031,231727,100505254,20441,23888,103978,192188,13003,77590,56375,56386,15212,53625,20444,15476,78752,14043,108902,15442,56773,56336,76898,13179,15529,218271,71951,27416,27047,227327,114332,72136,72727,14734,71367,17022,15932,78923,319415,15587,57370,16545,12091,14733,75612,20971,338362,60322,29873,319901,23971,20544,14042,15366,58250,15531,72297,54613,13004,27419,12505,23908,231583,54371,12032,12111,108652,117592,15211,54710,110006,15586,234356,20443,53374,20970,17423,15530,328779,15478,121021,212898,20969,74241,14264,53418
dermatan sulfate biosynthesis (late stages)	PWY-6568	MouseCyc	212898
Mucopolysaccharidoses	REACT_149649	Reactome	70484,100910,269941,15931,223827,71797,50786,76969,14595,27029,116847,23972,93683,195646,280645,545291,11881,18295,14735,20442,50785,13521,59031,231727,100505254,20441,23888,103978,192188,13003,77590,56375,56386,15212,53625,20444,15476,78752,14043,108902,15442,56773,56336,76898,13179,15529,218271,71951,27416,27047,227327,114332,72136,72727,14734,71367,17022,15932,78923,319415,15587,57370,16545,12091,14733,75612,20971,338362,60322,29873,319901,23971,20544,14042,15366,58250,15531,72297,54613,13004,27419,12505,23908,231583,54371,12032,12111,108652,117592,15211,54710,110006,15586,234356,20443,53374,20970,17423,15530,328779,15478,121021,212898,20969,74241,14264,53418
RNA Polymerase I Promoter Opening	REACT_86090	Reactome	31,915,031,915,432,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Adenylate cyclase inhibitory pathway	REACT_32432	Reactome	2,428,511,041,101,460,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Inhibition of adenylate cyclase pathway	REACT_34039	Reactome	2,428,511,041,101,460,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
PRPP biosynthesis I	PWY0-662	MouseCyc	328,099,754,561,106,000,000,000,000,000,000
glycerol degradation IV	PWY-4261	MouseCyc	1,493,314,625,145,550,000,000,000,000,000
D-glucuronate degradation I	PWY-5525	MouseCyc	678,806,863,158,810
Formation of tubulin folding intermediates by CCT/TriC	REACT_33395	Reactome	2,214,322,154
Cyclin D associated events in G1	REACT_105677	Reactome	2,219,013,557,214,020,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
G1 Phase	REACT_91654	Reactome	2,219,013,557,214,020,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Metabolism of nucleotides	REACT_33967	Reactome	11566,11821,55936,667034,229665,213484,67054,23918,16434,21877,57813,15452,18102,69719,11636,50493,20133,108147,17766,11565,268782,14782,22436,229363,230718,11717,109674,107569,93692,237823,64705,320685,72962,231327,18103,214254,74167,103149,70881,11564,110074,18950,72269,76952,20135,14450,22247,73532,11486,22245,22271,66588,75894,229949,56520,23959,27369,11534,50773,11637,56749,13178,51797,22171,75686,23917,12359,80914,14775,76654,66355,53893,14544,99586,103850,21915,16828,14923,22166,105446,382985
adenine and adenosine salvage III	PWY-6609	MouseCyc	1,895,011,053,211,480,000,000,000,000,000
heparan sulfate biosynthesis	PWY-6564	MouseCyc	8,339,872,077,117,590,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Biosynthesis of A2E, implicated in retinal degradation	REACT_162768	Reactome	242864
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	REACT_104910	Reactome	147,091,000,488,471,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Activation of GABAB receptors	REACT_136556	Reactome	104110,14709,100048847,100048410,14700,14680,14695,11513,16516,14704,14699,100043318,16520,14679,14708,16515,14707,16524,11512,16519,242425,100043507,210044,14678,224129,242851,14702,11515,16518,14706,100041703,14693,16522,14710,54393,14677,14688,104111,11514,16513,14701,432530,16517,16521
GABA B receptor activation	REACT_109210	Reactome	104110,14709,100048847,100048410,14700,14680,14695,242425,16516,14704,14699,100043318,16520,14679,14708,16515,14707,16524,11512,16519,100043507,210044,14678,224129,11513,242851,14702,11515,16518,14706,100041703,14693,16522,14710,54393,14677,14688,104111,11514,16513,14701,432530,16517,16521
GABA A (rho) receptor activation	REACT_145554	Reactome	1,440,814,409
GABA receptor activation	REACT_83946	Reactome	104110,14709,100048847,100048410,14700,14395,14406,14680,14695,54393,16516,14704,14399,14699,100043318,16520,14679,14708,16515,14394,100043507,16524,11512,16519,242425,14707,210044,14678,14401,14409,11513,242851,14702,16513,14400,11515,16518,14706,100041703,14693,16522,14710,14397,14408,14677,14688,104111,11514,224129,110886,14701,14407,432530,16517,236915,14396,14402,16521
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	REACT_88524	Reactome	231252,14395,14406,14695,14704,110902,14807,100048847,14397,100048410,14707,18796,16519,53310,20112,110651,11772,108043,54377,53623,242851,18752,14810,11515,11449,238276,18195,17246,16522,11513,14408,224129,12315,109880,432530,19417,18693,14409,14402,16521,17920,14700,13383,110637,18751,14812,14809,14679,16515,108015,14394,14401,16524,236915,14806,12323,16518,14693,67071,14710,20130,104111,11514,12326,11448,16517,11472,14396,55984,14709,14799,12314,104110,242425,12325,12912,100043318,16520,52589,100043507,12300,26413,14802,12313,110835,18750,74053,11441,14678,14400,20111,11771,110157,14706,11435,18749,12322,18607,11444,14677,100986,16513,14407,11438,18797,14680,100041703,54393,16516,14399,18795,14699,13821,14708,232910,11773,14811,11512,210044,13385,14702,71770,110834,14814,15461,11440,14688,110886,14701,14800,14813,54376,11447
Transmission across Chemical Synapses	REACT_106459	Reactome	231252,12846,14395,14406,14695,63993,14704,110902,216456,14807,100048847,11669,20512,12314,236915,18796,12647,16519,20979,53310,20112,13162,110651,11772,108043,54377,53623,242851,14645,18752,14810,11515,11449,238276,18195,17246,16522,20907,11513,14408,224129,12315,109880,432530,19417,18693,14409,14402,16521,20910,17920,14415,14700,14407,110637,20510,18751,14812,14809,14679,16515,243616,108015,14394,14401,16524,12295,14707,55984,19339,14806,20614,12323,16518,214084,14693,67071,12298,14417,14710,20130,22249,12287,104111,11514,72961,22348,20518,11448,214579,16517,11472,268860,67760,12297,22318,14709,14799,100048410,232333,104110,242425,12325,12912,13002,100043318,16520,14397,110835,12300,26413,14802,12313,100043507,18750,74053,11441,14678,14400,20111,11771,110157,14706,11435,15481,12322,18607,11444,14677,100986,16513,13383,12286,11423,12326,18797,11438,52589,20513,18749,14680,100041703,54393,16516,14399,18795,14699,13821,12296,14708,232910,11773,14811,11512,210044,13385,14702,71770,110834,14660,14396,14814,15461,11440,105727,14411,14688,242607,14412,110886,14701,12889,14800,20511,14813,54376,11447,17161
Thrombin signalling through proteinase activated receptors (PARs)	REACT_29539	Reactome	146,761,406,226,413,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Metabolism of water-soluble vitamins and cofactors	REACT_79988	Reactome	107476,20525,14287,17434,216134,66904,72039,116914,18041,223646,67375,105663,103711,75735,17250,238505,18563,108156,68591,17850,20527,69372,18605,67096,74450,93835,68421,56738,13361,66812,330064,78038,11433,54391,319945,66454,100705,73132,26363,65969,14104,52466,192185,106564,59027,110821,80721,109129,68214,226518,67618,29807,20509,74080,109754,77697,21452,17769,54338,69906,210009,110948,14603,109136,78914,20522,11761,54219,268566,20425,109672,69698,71743
Folding of actin by CCT/TriC	REACT_84283	Reactome	1,246,812,462,124,690,000,000,000,000,000,000,000,000
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	REACT_96856	Reactome	12,462,149,762,214,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Metabolism of vitamins and cofactors	REACT_34161	Reactome	107476,20525,14287,17434,216134,66904,72039,116914,18041,223646,67375,105663,103711,75735,17250,238505,18563,108156,68591,17850,20527,69372,18605,67096,74450,93835,68421,56738,13361,66812,330064,78038,11433,54391,319945,66454,100705,73132,26363,65969,14104,52466,192185,106564,59027,110821,80721,109129,68214,226518,67618,29807,20509,74080,109754,77697,21452,17769,54338,69906,210009,110948,14603,109136,78914,20522,11761,54219,268566,20425,109672,69698,71743
CDP-diacylglycerol biosynthesis II	PWY0-1319	MouseCyc	2,154,561,473,252,120,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
phospholipid biosynthesis I	PHOSLIPSYN-PWY	MouseCyc	215,456,665,861,473,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
thiosulfate disproportionation III (rhodanese)	PWY-5350	MouseCyc	22117
flavin biosynthesis IV (mammalian)	PWY66-366	MouseCyc	54,391,319,945
Electric Transmission Across Gap Junctions	REACT_108896	Reactome	14,610,146,155,599,100,000,000,000
Transmission across Electrical Synapses 	REACT_107108	Reactome	14,610,146,155,599,100,000,000,000
methylglyoxal degradation II	PWY-901	MouseCyc	52815
S-adenosyl-L-methionine biosynthesis	SAM-PWY	MouseCyc	10,864,511,720,232,000
Vitamin C (ascorbate) metabolism	REACT_81649	Reactome	2,052,710,975,420,520,000,000,000,000,000,000,000
ketogenesis	PWY3FA-941	MouseCyc	11,044,615,360,697,700,000,000,000,000,000,000,000,000,000
Association of TriC/CCT with target proteins during biosynthesis	REACT_102225	Reactome	124,681,080,771,246,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
PTM: gamma carboxylation, hypusine formation and arylsulfatase activation	REACT_81635	Reactome	140,681,021,156,690,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Chaperonin-mediated protein folding	REACT_106427	Reactome	###############################################################################################################################################################################################################################################################
Ca2+ activated K+ channels	REACT_137485	Reactome	1,653,314,049,214,040,000,000,000,000,000,000,000,000,000,000
GP1b-IX-V activation signalling	REACT_96540	Reactome	1,870,822,371,543,680,000,000,000,000,000,000,000,000,000,000,000,000
Vitamin B1 (thiamin) metabolism	REACT_109860	Reactome	8,072,129,807,116,910,000,000
HCN channels	REACT_143257	Reactome	151,661,516,515,168,000,000
Activation of G protein gated Potassium channels	REACT_80839	Reactome	147,091,000,488,471,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
G protein gated Potassium channels	REACT_87898	Reactome	147,091,000,488,471,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
ADP signalling through P2Y purinoceptor 12	REACT_100097	Reactome	242,851,147,021,467,000,000,000,000,000,000,000
3-phosphoinositide biosynthesis	PWY-6352	MouseCyc	224,020,225,326,320,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Potassium transport channels	REACT_145079	Reactome	563,791,651,716,513
Vitamin B2 (riboflavin) metabolism	REACT_108993	Reactome	18,605,114,335,439,100,000,000,000
RNA Polymerase I Promoter Escape	REACT_91155	Reactome	21,340,177,496,667,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
RNA Polymerase I Promoter Clearance	REACT_87917	Reactome	319150,66136,319154,326620,14885,13871,21340,18519,97122,97908,66671,106298,20019,17420,326619,15078,319149,14884,319153,23894,64424,26417,21429,97114,319148,360198,20017,17191,22130,15077,319152,20018,69386,245841,12572,15081,13872,110147,17749,319151,319955,320332,319160,260423,209357,319155,20016,21341
SCF(Skp2)-mediated degradation of p27/p21	REACT_35603	Reactome	2,219,026,965,125,760,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
ATP sensitive Potassium channels	REACT_147052	Reactome	16,523,209,282,092,700,000
Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes	REACT_86393	Reactome	12,566,196,451,244,800,000
Cyclin E associated events during G1/S transition 	REACT_102089	Reactome	2,219,021,402,624,850,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Synthesis of very long-chain fatty acyl-CoAs	REACT_139447	Reactome	216,739,126,865,432,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Fatty Acyl-CoA Biosynthesis	REACT_110964	Reactome	1,074,762,167,391,330,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Triglyceride Biosynthesis	REACT_100326	Reactome	10,747,613,358,106,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Classical Kir channels	REACT_134184	Reactome	165,151,651,816,520,000,000
Inwardly rectifying K+ channels	REACT_108208	Reactome	###############################################################################################################################################################################################################################################################
RNA Polymerase I Chain Elongation	REACT_85058	Reactome	###############################################################################################################################################################################################################################################################
ADP signalling through P2Y purinoceptor 1	REACT_78970	Reactome	146,761,470,214,688,000,000,000,000,000,000,000,000,000,000
Post-chaperonin tubulin folding pathway	REACT_139152	Reactome	221,475,454,862,214,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Protein folding	REACT_106260	Reactome	12462,108077,14976,22154,16582,108903,70430,50762,66411,22144,22152,22147,545486,67951,12461,22151,56612,67134,11461,12465,22142,22146,73710,12469,24128,20698,12385,21371,18637,21454,12464,67199,55946,99371,236733,12468,27055,22145,66887,109054,72726,22153,22327,50754,22143
UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	UDPNACETYLGALSYN-PWY	MouseCyc	54,342,145,846,668,100,000,000,000,000,000
Inhibition of replication initiation of damaged DNA by RB1/E2F1	REACT_82590	Reactome	190,752,178,118,968,000,000,000,000,000
2-methylbutyrate biosynthesis	PWY-5109	MouseCyc	151,089,374,711,044,000,000,000,000
Import of palmitoyl-CoA into the mitochondrial matrix	REACT_98381	Reactome	10,747,610,809,912,800,000,000,000,000,000,000,000,000,000,000,000
Coenzyme A biosynthesis	REACT_91605	Reactome	7,313,274,450,106,560,000,000,000,000,000
Vitamin B5 (pantothenate) metabolism	REACT_99220	Reactome	73,132,141,047,445,000,000,000,000,000,000,000,000,000,000,000
Voltage gated Potassium channels	REACT_130040	Reactome	16512,99738,16492,242151,240595,238271,382571,16491,16500,16495,66733,16504,192775,16499,60613,56543,16490,16508,241794,16494,98741,226922,225030,16536,170738,268345,238076,16485,16511,16498,16502,16535,16538,110862,16506,16539,16493,380728,16510,67498,16497,240444
E2F-enabled inhibition of pre-replication complex formation	REACT_90007	Reactome	2,686,971,839,218,390,000,000,000,000,000,000,000,000,000,000
E2F mediated regulation of DNA replication	REACT_104779	Reactome	1,907,518,393,217,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
G1/S Transition	REACT_106054	Reactome	22190,12544,23834,18392,56452,18974,17215,66634,22187,268697,70024,624855,19075,27214,26429,12576,66671,17217,17420,18969,13555,68240,12427,78294,18973,268930,12447,22390,17216,21402,12428,18968,12530,19891,17220,21781,12572,12448,12534,19645,67177,17219,26965,12545,667035,18393,68275,50793,12575,22186,26428,12566,17218,27401
Mitotic G1-G1/S phases	REACT_33112	Reactome	22190,13557,12544,104394,23834,13548,72568,242705,18392,66671,56452,18974,12581,17215,66634,68275,667035,70024,624855,18393,19075,27214,75660,12576,21402,17217,17420,12448,12534,231506,18969,12580,13555,19646,68240,433759,19650,78294,18973,12428,13559,268930,12447,12579,17216,19651,15181,18968,12530,17220,21781,12427,12572,22187,22390,26429,12567,12578,67177,17219,217708,26965,268697,12545,12571,629959,19645,19891,50793,211586,12575,22186,12443,26428,12566,17218,27401
Thromboxane signalling through TP receptor	REACT_108559	Reactome	1,467,621,390,146,880,000,000,000,000,000,000,000,000
Signal amplification	REACT_79654	Reactome	146,762,428,511,470,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
RNA Polymerase I Transcription Termination	REACT_78534	Reactome	213,401,774,966,671,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
RNA Polymerase I Transcription	REACT_100735	Reactome	319150,66136,319154,326620,14885,13871,21340,18519,97122,97908,66671,106298,20019,17420,326619,15078,319149,14884,319153,23894,64424,26417,21429,97114,319148,360198,20017,17191,22130,15077,319152,20018,69386,245841,12572,319955,17749,15081,13872,110147,19285,319151,12417,320332,319160,260423,209357,319155,20016,21341
Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)	REACT_128967	Reactome	521,501,652,516,530
Beta oxidation of palmitoyl-CoA to myristoyl-CoA	REACT_88923	Reactome	9,721,223,108,611,370
TWIK related potassium channel (TREK)	REACT_126327	Reactome	165,261,652,872,258
Gamma-carboxylation of protein precursors	REACT_103998	Reactome	140,686,690,119,128,000,000,000,000,000,000,000,000,000,000
TWIK-releated acid-sensitive K+ channel (TASK)	REACT_137127	Reactome	22,360,416,527
Regulation of actin dynamics for phagocytic cup formation	REACT_162915	Reactome	76884,20963,16885,12928,330319,15519,67771,14130,68089,76709,215280,66713,16136,12631,57257,14083,56378,80987,17973,26413,19353,140580,68524,11461,14129,12540,11350,11465,140579,22325,14784,73178,11308,56443,26417,108100,242687,18186,15516,12502,22324,50884,18479,20346,12503,330662,619960,16071,74117,110786,17909,22376,101314
Vitamins B6 activation to pyridoxal phosphate	REACT_139226	Reactome	21,613,410,371,111,700
TWIK-related alkaline pH activated K+ channel (TALK)	REACT_126063	Reactome	74571
Beta oxidation of myristoyl-CoA to lauroyl-CoA	REACT_146925	Reactome	9,721,211,363,231,080
TWIK-related spinal cord K+ channel (TRESK)	REACT_131680	Reactome	332396
Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus	REACT_97994	Reactome	1,406,866,901,191,280,000,000,000,000,000,000,000,000
Tandem pore domain halothane-inhibited K+ channel (THIK)	REACT_128727	Reactome	217826
Cyclin A:Cdk2-associated events at S phase entry	REACT_33768	Reactome	221,902,140,262,485,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Potassium Channels	REACT_42352	Reactome	16512,56379,16525,14695,58802,14704,20927,16495,16504,16519,16528,56543,238076,15168,225030,16498,16511,16522,16535,380728,16497,72258,16521,16538,14700,240595,16491,16500,16515,16524,14707,16494,16518,140493,268345,84036,14693,14710,16493,16510,16517,67498,16534,72413,14709,100048847,100048410,242425,226922,238271,100502876,100043318,16520,16533,15166,100043507,332396,16490,241794,330953,16527,16536,14706,242151,15165,110862,16506,16513,140492,16530,16514,99738,16492,100041703,54393,16516,382571,14699,52150,217826,223604,66733,192775,16499,60613,16508,16523,14708,14702,98741,20928,211480,170738,16485,16502,16526,14688,16539,14701,240444,74571
Fcgamma receptor (FCGR) dependent phagocytosis	REACT_161631	Reactome	76884,20963,16885,12928,330319,15519,16440,14130,68089,76709,215280,74769,16438,66713,16136,12631,57257,14083,18709,56378,18753,80987,17973,26413,19353,140580,68524,11461,67771,12540,11350,26417,11465,18708,140579,22325,14784,73178,11308,56443,14129,108100,381925,242687,18186,15516,18806,12502,22324,50884,18479,20346,12503,18803,330662,619960,16071,18706,74117,18754,234779,110786,17909,22376,16439,101314
Tachykinin receptors bind tachykinins	REACT_84446	Reactome	2,133,421,333,213,360,000,000,000
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	REACT_79189	Reactome	97,212,937,472,310,800,000,000,000
Hypusine synthesis from eIF5A-lysine	REACT_86108	Reactome	208,691,330,817,276,000,000,000
